Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Iteration 352, Error: 0.006435570582347783
Iteration 353, Error: 0.006432666970401346
Iteration 354, Error: 0.006426278954482445
Iteration 355, Error: 0.006423354776314394
Iteration 356, Error: 0.006416873991162753
Iteration 357, Error: 0.006413929885490166
Iteration 358, Error: 0.006407357573941397
Iteration 359, Error: 0.006404394163178395
Iteration 360, Error: 0.006397731571356147
Iteration 361, Error: 0.006394916052187227
Iteration 362, Error: 0.006387997838731341
Iteration 363, Error: 0.006386032201753711
Iteration 364, Error: 0.006378216579015827
Iteration 365, Error: 0.006377036897716959
Iteration 366, Error: 0.006369610611226317
Iteration 367, Error: 0.006367931923074277
Iteration 368, Error: 0.006361087587869907
Iteration 369, Error: 0.006358719049614159
Iteration 370, Error: 0.006352455869542251
Iteration 371, Error: 0.006349400037670261
Iteration 372, Error: 0.006343717131525484
Iteration 373, Error: 0.006339976635902023
Iteration 374, Error: 0.006334873038937872
Iteration 375, Error: 0.006330450581081948
Iteration 376, Error: 0.0063259252465566185
Iteration 377, Error: 0.0063208235978939875
Iteration 378, Error: 0.006316875398606481
Iteration 379, Error: 0.00631109739875102
Iteration 380, Error: 0.006307725128580799
Iteration 381, Error: 0.006301273683612774
Iteration 382, Error: 0.006298476059063418
Iteration 383, Error: 0.006291864746025055
Iteration 384, Error: 0.006289129801576809
Iteration 385, Error: 0.0062824394464144895
Iteration 386, Error: 0.006279687956409763
Iteration 387, Error: 0.006272919685127221
Iteration 388, Error: 0.00627015211247306
Iteration 389, Error: 0.006263307050783151
Iteration 390, Error: 0.006261162607303916
Iteration 391, Error: 0.00625360312008727
Iteration 392, Error: 0.006252222919660433
Iteration 393, Error: 0.006244100205022196
Iteration 394, Error: 0.006243188406917177
Iteration 395, Error: 0.006235390585952683
Iteration 396, Error: 0.006234060591961299
Iteration 397, Error: 0.0062268100153248795
Iteration 398, Error: 0.006224840987306912
Iteration 399, Error: 0.006218136498857607
Iteration 400, Error: 0.0062155310949489895
Iteration 401, Error: 0.006209371470725866
Iteration 402, Error: 0.006206132406241682
Iteration 403, Error: 0.0062005163558129794
Iteration 404, Error: 0.0061966464017553236
Iteration 405, Error: 0.006191572569601345
Iteration 406, Error: 0.00618707455116807
Iteration 407, Error: 0.006182541518028994
Iteration 408, Error: 0.006177418313149552
Iteration 409, Error: 0.0061734245973914526
Iteration 410, Error: 0.0061676791352605065
Iteration 411, Error: 0.006164223194217389
Iteration 412, Error: 0.006157858453851528
Iteration 413, Error: 0.00615493868517536
Iteration 414, Error: 0.006148142152652358
Iteration 415, Error: 0.006145572436974334
Iteration 416, Error: 0.0061387094633276185
Iteration 417, Error: 0.006136125806273096
Iteration 418, Error: 0.00612919739233142
Iteration 419, Error: 0.00612682396638764
Iteration 420, Error: 0.006119607283716633
Iteration 421, Error: 0.0061179238611366316
Iteration 422, Error: 0.006109940471068498
Iteration 423, Error: 0.006108942421110264
Iteration 424, Error: 0.006100800474873047
Iteration 425, Error: 0.006099880949883563
Iteration 426, Error: 0.006091912158617596
Iteration 427, Error: 0.006090740741823808
Iteration 428, Error: 0.006083318924001269
Iteration 429, Error: 0.0060815230819875055
Iteration 430, Error: 0.006074646904601799
Iteration 431, Error: 0.0060722292460315686
Iteration 432, Error: 0.006065897315278512
Iteration 433, Error: 0.006062878125742799
Iteration 434, Error: 0.006057071362688404
Iteration 435, Error: 0.006053476227400267
Iteration 436, Error: 0.006048170245221307
Iteration 437, Error: 0.006044001930514575
Iteration 438, Error: 0.006039195152913734
Iteration 439, Error: 0.006034456464628413
Iteration 440, Error: 0.0060301472673813805
Iteration 441, Error: 0.006024841049683705
Iteration 442, Error: 0.006021027761761388
Iteration 443, Error: 0.006015156895968321
Iteration 444, Error: 0.006011837800638631
Iteration 445, Error: 0.006005405204057013
Iteration 446, Error: 0.006002578539999526
Iteration 447, Error: 0.005995587164786986
Iteration 448, Error: 0.00599325112717386
Iteration 449, Error: 0.005985721430708857
Iteration 450, Error: 0.005983856700793488
Iteration 451, Error: 0.005976236776135568
Iteration 452, Error: 0.005974719033873477
Iteration 453, Error: 0.00596668709081305
Iteration 454, Error: 0.005965822289178746
Iteration 455, Error: 0.0059571005763912055
Iteration 456, Error: 0.005956857425188922
Iteration 457, Error: 0.005948160500568456
Iteration 458, Error: 0.005947825539823093
Iteration 459, Error: 0.005939601431713015
Iteration 460, Error: 0.00593872772296411
Iteration 461, Error: 0.0059309748909806
Iteration 462, Error: 0.00592956505643194
Iteration 463, Error: 0.005922281919841232
Iteration 464, Error: 0.0059203386139277114
Iteration 465, Error: 0.005913523552598221
Iteration 466, Error: 0.005911049460990192
Iteration 467, Error: 0.0059047008163544135
Iteration 468, Error: 0.005901698654968257
Iteration 469, Error: 0.005895814730949134
Iteration 470, Error: 0.005892287244969374
Iteration 471, Error: 0.005886866308922656
Iteration 472, Error: 0.005882816271840063
Iteration 473, Error: 0.0058778565554726825
Iteration 474, Error: 0.005873286768141028
Iteration 475, Error: 0.0058687864684241475
Iteration 476, Error: 0.005863699758104524
Iteration 477, Error: 0.005859657038187471
Iteration 478, Error: 0.005854056257639684
Iteration 479, Error: 0.005850469247728363
Iteration 480, Error: 0.005844357274280121
Iteration 481, Error: 0.005841224072538509
Iteration 482, Error: 0.005834603807195471
Iteration 483, Error: 0.005831922480616036
Iteration 484, Error: 0.005824796847160307
Iteration 485, Error: 0.00582256543242643
Iteration 486, Error: 0.005814937376557694
Iteration 487, Error: 0.005813232125673196
Iteration 488, Error: 0.005805109219894078
Iteration 489, Error: 0.005804326598390475
Iteration 490, Error: 0.005795595724281455
Iteration 491, Error: 0.005795364437770623
Iteration 492, Error: 0.005786414083524427
Iteration 493, Error: 0.005786346573372292
Iteration 494, Error: 0.005777616333383584
Iteration 495, Error: 0.005777273927788151
Iteration 496, Error: 0.005768979052145795
Iteration 497, Error: 0.00576814741659426
Iteration 498, Error: 0.005760286198183806
Iteration 499, Error: 0.005758967948340299
Iteration 500, Error: 0.005751538651569632
Iteration 501, Error: 0.005749736424532692
Iteration 502, Error: 0.005742737286096755
Iteration 503, Error: 0.005740453739611517
